cargo,nome_empresa,salario,local,regime_trabalista,beneficios,link,erro,datetime_execution,date_execution
,,,,,[],https://www.vagas.com.br/vagas/v2724468/assistente-de-infraestutura-e-suporte-ti,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.vagas.com.br/vagas/v2724468/assistente-de-infraestutura-e-suporte-ti"", waiting until ""domcontentloaded""
",2025-04-25 16:00:06.733112,2025-04-25
Analista de Tecnologia com Foco em Aplicações,Fundação São Francisco Xavier,Faixa salarial a combinar,Belo Horizonte,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Previdência privada', 'Seguro de vida', 'Vale-alimentação', 'Vale-refeição', 'Vale-transporte']",https://www.vagas.com.br/vagas/v2712604/analista-de-tecnologia-com-foco-em-aplicacoes,,2025-04-25 16:00:06.733112,2025-04-25
Analista Planejamento Financeiro TI Júnior,Ânima,Faixa salarial a combinar,100% Home Office,Regime CLT,[],https://www.vagas.com.br/vagas/v2726457/analista-planejamento-financeiro-ti-junior,,2025-04-25 16:00:06.733112,2025-04-25
Consultora em Tecnologia Educacional Pública,FTD Educação,Faixa salarial R$ 5.000 a R$ 6.000,Cuiabá ,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Auxílio academia', 'Auxílio creche', 'Consignado', 'Programa de treinamentos', 'Seguro de vida', 'Vale-refeição']",https://www.vagas.com.br/vagas/v2727917/consultora-em-tecnologia-educacional-publica,,2025-04-25 16:00:06.733112,2025-04-25
Docente Tecnologia - Unifg (BA),UniFG,Faixa salarial a combinar,Guanambi,Regime CLT,[],https://www.vagas.com.br/vagas/v2726560/docente-tecnologia-unifg-ba,,2025-04-25 16:00:06.733112,2025-04-25
,,,,,[],https://www.vagas.com.br/vagas/v2711787/especialista-pmo-e-governanca-ti,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.vagas.com.br/vagas/v2711787/especialista-pmo-e-governanca-ti"", waiting until ""domcontentloaded""
",2025-04-25 16:00:06.733112,2025-04-25
Analista de Geração de Demanda TI II,Grupo Fleury,Faixa salarial a combinar,100% Home Office,Regime CLT,[],https://www.vagas.com.br/vagas/v2727192/analista-de-geracao-de-demanda-ti-ii,,2025-04-25 16:00:06.733112,2025-04-25
Estágio em Tecnologia da Informação (Salesforce),Hyundai AutoEver Brasil,Faixa salarial a combinar,Piracicaba ,Estágio,"['Bolsa auxílio', 'Restaurante interno', 'Seguro de vida', 'Vale-transporte']",https://www.vagas.com.br/vagas/v2728563/estagio-em-tecnologia-da-informacao-salesforce,,2025-04-25 16:00:06.733112,2025-04-25
,,,,,[],https://www.vagas.com.br/vagas/v2728695/vaga-de-analista-de-tecnologia-da-informacao,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.vagas.com.br/vagas/v2728695/vaga-de-analista-de-tecnologia-da-informacao"", waiting until ""domcontentloaded""
",2025-04-25 16:00:06.733112,2025-04-25
Consultor TI - Sistemas Corporativos,Icatu Seguros,Faixa salarial a combinar,Rio de Janeiro ,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Auxílio academia', 'Auxílio creche', 'Auxílio farmácia', 'Participação nos Lucros ou Resultados', 'Previdência privada', 'Seguro de vida', 'Vale-alimentação', 'Vale-refeição']",https://www.vagas.com.br/vagas/v2713899/consultor-ti-sistemas-corporativos,,2025-04-25 16:00:06.733112,2025-04-25
Coordenador de TI - Infraestrutura e Segurança,Grupo SERES,Faixa salarial a combinar,Brasília ,Regime CLT,[],https://www.vagas.com.br/vagas/v2729297/coordenador-de-ti-infraestrutura-e-seguranca,,2025-04-25 16:00:06.733112,2025-04-25
